,text,actions
33,had a call he said send me the details through whtsapp if intretsed he said he will update he said he cannot proceed with the investment,"['call', 'update', 'proceed', 'investment']"
34,he said he did not enquired,"['said', 'enquired']"
35,he said he is not intrested,"['said', 'intrested']"
36,had a call explained and shared details through whtsapp,"['call', 'explained', 'shared']"
37,tried again still not responding to call so msgd him through whtsapp,"['responding', 'msgd', 'whtsapp']"
38,still number doesnt have incoming call service ,"['incoming', 'call']"
39,tried again still not responding to call rnr he asked me to share details through whtsapp he said he is not intrested,"['tried', 'responding', 'call', 'asked', 'share', 'said']"
40,tried again but he didint picked up the call,"['tried', 'picked']"
41,tried again still he is disconnecting the call,"['disconnecting', 'call']"
42,tried again he is not responding to the call rnr ,"['tried', 'responding', 'call']"
43,tried again still not responding to calls and msgs she is not responding to calls and msgs,"['tried', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
44,had a call and explained and shared details through whtsapp he said he will meet up in the office one day to discuss he is not responding to calls and msgs,"['call', 'shared', 'meet up', 'discuss', 'responding', 'calls', 'msgs']"
45,tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs,"['tried', 'responding', 'calls', 'msgs', 'calls', 'msgs']"
46,tried again he didint responded to call so msgd him through whtsapp had a call explained the landing project details he asked me to share details through mail he is not responding to calls and msgs tried again still not responding to calls and msgs,"['tried', 'responded', 'msgd', 'whtsapp', 'call', 'landing', 'asked', 'share', 'mail', 'responding', 'calls', 'msgs', 'calls', 'msgs']"
47,he said he not yet decided anything he is not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs']"
48,he said he didnt enquired,"['said', 'enquired']"
49,he said he dont want any investmnts lead assigned to raj hegde by anshul ,"['said', 'investmnts']"
50,tried again still not responding to call busy ,"['responding', 'busy']"
51,not responded to call so msgd him through whtsapp he said he will update once he decide he said he is in driving he said he will call me back he said he will pass the option now,"['responded', 'call', 'msgd', 'update', 'decide', 'said', 'driving', 'call', 'pass']"
52,not responding to calls and msgs,"['responding', 'calls', 'msgs']"
53,he said he not yet gone through the details he said he will check and update not yet decided it seems he said he is busy so he need 1 week of time to think he didint responded to call so msgd him through whtsapp he said he cannot proceed with the investment,"['said', 'check', 'update', 'decided', 'busy', 'think', 'call', 'msgd', 'proceed', 'investment']"
54,he said me to share details through whtsapp,"['said', 'share', 'whtsapp']"
55,he said he not yet decided anything on the investment he said he will pass this investment option,"['said', 'decided', 'investment', 'pass', 'investment']"
56,lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul ,"['lead', 'lead']"
57,tried again still not responding to call rnr ,"['responding', 'call']"
58,not yet deicded anything yet he said he said me to call me tomarrow had a call explained details of investment he said he will meet up in the office one day,"['deicded', 'said', 'call', 'tomarrow', 'call', 'meet up']"
59,tried again he still not responding to call rnr tried again he still not responding to call rnr ,"['tried', 'responding', 'call', 'responding']"
60,tried again still not responding to call busy tried again still not responding to call rnr ,"['responding', 'responding', 'call']"
61,lead assigned to venkat ghanusala by anshul he is not intrested,"['lead', 'assigned', 'venkat']"
62,he said he not yet decided anythinhg he is disconnecting the calls of mine and responding to msgs,"['said', 'decided', 'disconnecting', 'calls', 'responding', 'msgs']"
63,he and his friend karunkar they need some more time to think he said he didint decided anything yet,"['think', 'decided']"
64,she said she is not intrtsed,['intrtsed']
65,he is not responding to calls and msgs tried again he still not responding to calls,"['responding', 'calls', 'msgs', 'responding', 'calls']"
66,he is not responding to calls and msgs he said he is not intrested,"['responding', 'calls', 'msgs', 'intrested']"
67,tried again he is still not responding to calls and msgs tried again he still not responding to calls and msgs,"['responding', 'calls', 'msgs', 'calls', 'msgs']"
68,tried again to reach him out but he is not responding,"['tried', 'responding']"
69,tried again he is not responding to call,"['tried', 'responding', 'call']"
70,call is not getting connected,['connected']
71,tried again still not responding to call rnr tried again still not responding to call so msgd him through whtsapp,"['tried', 'responding', 'call', 'responding', 'msgd', 'whtsapp']"
72,he said he not yet deicded he met me in the office he said he will update once he decide he said he is unable to arrange funds so he can not proceed,"['deicded', 'arrange', 'proceed']"
73,she is not responding to calls and msgs she is not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
74,tried again he still not responding to call rnr tried again he still not responding to call busy ,"['tried', 'responding', 'call', 'responding', 'busy']"
75,tried again still not responding to calls and msgs,"['responding', 'calls', 'msgs']"
76,he is not responding to calls and msgs tried again still not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
77,tried calling him again he didint responded to call tried calling him again he didint responded to call,"['tried', 'calling', 'responded', 'call', 'calling', 'responded']"
78,he disconnected the call when i said about the investment,"['disconnected', 'call', 'said', 'investment']"
79,she is speaking in tamil and she dont know what is investment and all,"['speaking', 'tamil', 'investment']"
80,had a call explained and shared details through whtsapp he said he will update once he decides he is not responding to calls and msgs,"['call', 'explained', 'shared', 'said', 'update', 'decides', 'responding', 'calls', 'msgs']"
81,tried again he is not responding to call tried again still number shows busy,"['tried', 'responding', 'call', 'tried', 'busy']"
82,he said he need some more time to think he said he will update me if intrested,"['said', 'think', 'update']"
83,tried again number still shows switched off,['switched off']
84,tried again still he is not responding to call rnr ,"['tried', 'responding', 'call']"
85,had a call again and explained and shared details through whtsapp not responding to calls and msgs he said he will check and upadte he said he still not decided anything yet he said he is not intretsed,"['call', 'shared', 'calls', 'msgs', 'check', 'upadte', 'decided']"
86,he said he is not responding to calls and msgs he said he is not intrested,"['said', 'responding', 'calls', 'msgs', 'intrested']"
87,he asked me to come to his place at manikonda to discuss on the project he said he will update soon he said he not decided anything he said he decide and let me know he said he will update by tomarrow,"['asked', 'discuss', 'update', 'decided', 'said', 'update', 'tomarrow']"
88,he said he is not yet decided he said he cannot invest as of now,"['said', 'decided', 'invest']"
89,not responding to calls and msgs had a call again and explained the details he said he will check and update he said he need some more time to decide he said he not yet decided he want some time to decide he said he is not intretsed now,"['responding', 'calls', 'msgs', 'call', 'check', 'update', 'decide', 'decided', 'decide', 'intretsed']"
90,he said he not yet decided anything yet he is not responding to calls and msgs tried again he is not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
91,tried again still not responding to call rnr she asked me to share details through whtsapp had a call with her husband explained details of debenture he said he will check and update she said she will give me a call once she decides,"['responding', 'call', 'asked', 'share', 'call', 'check', 'update', 'call', 'decides']"
92,msgd details through whtsapp he said he will update once he decides he said he need more time he is evaluating other options as well,"['msgd', 'said', 'update', 'decides', 'said', 'evaluating']"
93,he said he didint enquired,"['said', 'enquired']"
94,he said he is not intrested lead assigned to raj hegde by anshul ,"['said', 'intrested']"
95,he said he will check and update if he wish to continue he said he is interested he said he will only call me,"['said', 'check', 'update', 'wish', 'continue', 'interested', 'call']"
96,he visited the office he said he will update on the investment in couple of days,"['visited', 'update']"
97,he said he is not intrested in purva and asked me to share details of landing he said he is still thinking he is not responding to calls and msgs,"['said', 'intrested', 'purva', 'asked', 'thinking', 'responding', 'calls', 'msgs']"
98,he said he is not intresd,['intresd']
99,had a call and explained and shared details through whtsapp he said he need some more time to discuss he said if he is interested he will only update,"['call', 'shared', 'discuss', 'interested', 'update']"
100,had a call and explained and shared details of investment through whtsapp he said he not yet decided he said he is not intrested,"['call', 'shared', 'investment', 'decided', 'said']"
101,tried again he still not responding to call ,"['tried', 'responding', 'call']"
102,tried again still not responding to call busy tried again still not responding to call busy ,"['tried', 'responding', 'busy', 'responding', 'busy']"
103,junk lead lead assigned to ramakrishna katta by anshul ,['lead']
104,he said he not yet decided he said he will update once he decides he said he is not intrested,"['said', 'decided', 'update', 'intrested']"
105,had a call explained and shared details through whtsapp she said she will check the details and update she said if she is interested she will get back to me,"['call', 'shared', 'check', 'update', 'interested', 'back']"
106,she is not responding to calls and msgs,"['responding', 'calls', 'msgs']"
107,tried again still number shows off,"['tried', 'off']"
108,he said he will visit our office one day to discuss he said he will plan and meet one day at present he said he is busy he is not responding to calls and msgs,"['said', 'visit', 'discuss', 'plan', 'meet', 'busy', 'responding', 'calls', 'msgs']"
109,tried again still not responding to call rnr not responding to calls and msgs,"['tried', 'responding', 'call', 'responding', 'calls', 'msgs']"
110,so msgd him through whtsapp he asked me to share details through whtsapp,"['msgd', 'whtsapp', 'asked', 'share', 'whtsapp']"
111,he said he will update me once he decides he said he is not intrested,"['said', 'update', 'decides', 'intrested']"
112,tried again still his phn is off,"['phn', 'off']"
113,he said he will update once he decides not responding to calls and msgs,"['update', 'decides', 'responding', 'calls', 'msgs']"
114,he is speaking in kanada,"['speaking', 'kanada']"
115,tried again still he is not responding to call tried again he still not responding to calls tried again he is not responding to calls and msgs,"['tried', 'responding', 'call', 'tried', 'responding', 'calls', 'responding', 'calls', 'msgs']"
116,not responding to calls and msgs he is not responding to calls and msgs not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs', 'calls', 'msgs']"
117,number not in service number not in service,"['service', 'service']"
118,he said he is in temple so asked me to share details through whtsapp he said he not yet decided anything yet,"['said', 'temple', 'asked', 'share', 'whtsapp', 'decided']"
119,not responding to calls and msgs tried again he is not responding to calls and masgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'masgs']"
120,had a call and explained all the details and shared details through whtsapp he said he not yet decided he is not responding to calls and msgs,"['call', 'shared', 'decided', 'responding', 'calls', 'msgs']"
121,he said he is not intresed,[]
122,tried again he still not responding to call rnr tried again still number shows busy,"['tried', 'responding', 'call', 'tried', 'busy']"
123,he is not responding to calls and msgs tried again still he is not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
124,she said she is so busy with her schedule that she said she will take time and check she is not responding to calls and msgs she said she will give me a call back once she gets free,"['said', 'busy', 'schedule', 'said', 'check', 'responding', 'calls', 'msgs', 'call', 'free']"
125,he said he is travelling he is said he will only give me a call once he get free he said he is not intrested,"['said', 'travelling', 'said', 'call', 'free', 'intrested']"
126,he said he is not intresdd,[]
127,he said he will meet once he get free he is not responding to calls and msgs he said he is not well so unable to meet once he recover he said he will give me a call,"['said', 'meet', 'free', 'responding', 'calls', 'msgs', 'well', 'meet', 'recover', 'call']"
128,he said he is checking for options he said he will let me know had a call again and explained details he said he is new to this one he will understand and get back had a call he has some queries on land valuation so i forwarded number to manoj sir he said he will part this investment option if intretsed he said he will ping me,"['said', 'checking', 'call', 'explained', 'new', 'understand', 'back', 'call', 'queries', 'forwarded', 'investment', 'ping']"
129,he didint responded to msg yet he is not responding,"['responded', 'responding']"
130,she said she is not intretsed,['intretsed']
131,he said he will give me a update in the month of august,"['said', 'update']"
132,tried again he is not responding to call not responding to calls,"['tried', 'responding', 'call', 'responding', 'calls']"
133,tried again still not responding to call busy had a call he said me to share details through whtsapp he said he is busy once he get free he will call me back tried calling him but he is not responding to calls and msgs,"['busy', 'call', 'share', 'busy', 'free', 'call', 'responding', 'calls', 'msgs']"
134,he still not responded to msg,['responded']
135,tried again still not responding to calls and msgs tried again still not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
136,tried again still number shows off tried again still number shows off,"['tried', 'off', 'tried', 'off']"
137,he said he will update once he decides he is not responding to calls and msgs,"['update', 'decides', 'responding', 'calls', 'msgs']"
138,still number doesnt have incoming services ,['incoming']
139,not yet decided he said he need time he said as of now he is not intresed,"['decided', 'said', 'said']"
140,not yet decided not responded to calls and msgs,"['decided', 'responded', 'calls', 'msgs']"
141,he said he is not looking for long term however shared debenture details also he said he is not intretsed,"['said', 'looking', 'term', 'shared', 'intretsed']"
142,not yet decided anything he said he said he will leave this option,"['decided', 'leave']"
143,he said he already invested in somewhere else,['invested']
144,he said he dont know any investments,"['said', 'investments']"
145,he said he is busy so asked me to share details through whtsapp he said he will update me if he decides he is not responding to calls and msgs,"['busy', 'share', 'said', 'update', 'decides', 'responding', 'calls', 'msgs']"
146,had a call shared details through whtsapp he said he will check and update he is not responding to calls and msgs tried again he still not responding to calls and msgs,"['call', 'shared', 'check', 'update', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
147,he said he not yet decided anything on the investment he said he is looking for other investment options as well he said he will check and update he said he is not moving forward on the investment,"['said', 'decided', 'investment', 'investment', 'said', 'check', 'update', 'moving', 'investment']"
148,number currenlty busy,['busy']
149,he is not responding to call,"['responding', 'call']"
150,tried again this time number shows busy ,['busy']
151,still not responding to msgs and calls,"['responding', 'msgs', 'calls']"
152,she said she is not intrested,"['said', 'intrested']"
153,he said he will check and update once he decides he is not responding to calls and msgs,"['said', 'check', 'update', 'decides', 'responding', 'calls', 'msgs']"
154,he said he will check in a week and get back to us had a call again he asked about trustee document so shared details he said he will check and update he said he want to talk with someone who he is in banglore shared number to uppender sir client said he will meet in banglore he said he will inform me if he is intretsed,"['said', 'check', 'back', 'call', 'asked', 'shared', 'check', 'update', 'talk', 'inform']"
155,tried again still call is not getting connectted,"['call', 'connectted']"
156,he said he will update me once he decides he said he will give me a call once he deicdes tried calling him he is not responding to calls and msgs he said as of now he is not intrested,"['said', 'update', 'decides', 'call', 'deicdes', 'responding', 'calls', 'msgs', 'said']"
157,not responding to call so msgd him through whtsapp not responding to calls and msgs,"['responding', 'call', 'msgd', 'responding', 'calls', 'msgs']"
158,he said he not yet decided anythig so asked me to wait,"['said', 'decided', 'asked', 'wait']"
159,he said he not yet decided anything he is not responding to calls and msgs tried again he still not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
160,he said he found alternate option not intrested,"['said', 'found', 'intrested']"
161,had a meeting in the office he said he will update on monday he met me in the office he said he will discuss with the family and let us know,"['meeting', 'said', 'update', 'met', 'said', 'discuss']"
162,tried again he did not responded to call he said he is a property consultant so asked me to share details through whtsapp he said he is not intretsed as of now,"['tried', 'responded', 'call', 'consultant', 'asked', 'share', 'intretsed']"
163,tried again he still not responded to call tried again he still not responding to call,"['tried', 'responded', 'tried', 'responding', 'call']"
164,still not responded to msgs,"['responded', 'msgs']"
165,tried again he still not responding to call tried again he still not responding to call,"['tried', 'responding', 'tried', 'responding', 'call']"
166,not yet received response from his side,"['received', 'response']"
167,tried again still not responding to calls and msgs tried again still not responding to calls and msgs ,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
168,he said he will update whether he invest or not,"['update', 'invest']"
169,he said he will not proceed at preseent,"['said', 'proceed', 'preseent']"
170,he said he not yet gone through the details,"['said', 'gone']"
171,tried again still not responding to call rnr he said he is not enquired,"['tried', 'responding', 'call', 'enquired']"
172,tried again stillnot responding to call rnr had a call explained and shared details through whtsapp he said he not yet gone though the documents he said he will check and update he said he will inform me if he intretseted,"['responding', 'call', 'call', 'shared', 'gone', 'check', 'update', 'inform']"
173,he said he not yet deicded not responding to calls and msgs,"['said', 'deicded', 'responding', 'calls', 'msgs']"
174,he said doing investment at present its not possible for him,"['doing', 'investment', 'possible']"
175,he said he will check with his ca and let us know about the investment he said he is not able to invest now,"['said', 'check', 'investment', 'invest']"
176,he is not responding to calls and msgs tried again he is not responding to calls and msgs,"['responding', 'calls', 'msgs', 'calls', 'msgs']"
177,number doesnt exist,['exist']
178,he said he will upadte me once he decides he is not responding to calls and msgs tried again he is not responding to calls and msgs,"['said', 'upadte', 'decides', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
179,tried again still he is not responding to calls he said he did not enquired anything about the investment,"['tried', 'responding', 'calls', 'enquired', 'investment']"
180,had a call she asked me to share details through whtsapp she said she will connect next week she said her health is not good she said she is in quarantine so cant make any decisions on the investment,"['call', 'asked', 'share', 'connect', 'health', 'good', 'said', 'quarantine', 'decisions', 'investment']"
181,tried again still not responded to call rnr tried again still not responded to call rnr ,"['tried', 'responded', 'call', 'responded']"
182,he said he will call me on 25th of month,"['said', 'call']"
183,some one picked up the call and talking in different language,"['picked', 'call', 'talking']"
184,tried again still call is not getting connected,"['call', 'connected']"
185,he said he need more time to think tried calling him he is not responding to call he is not responding to calls and msgs,"['said', 'think', 'calling', 'responding', 'responding', 'calls', 'msgs']"
186,he said he will update me once he decides he said he is not intretsed to proceed further,"['update', 'decides', 'intretsed', 'proceed']"
187,lead assigned to venkat ghanusala by anshul number switched off number still shows off,"['switched off', 'shows off']"
188,not responding to calls and msgs he said he will meet us in the office by monday or tuesday he said he will inform if he is intrested,"['responding', 'calls', 'msgs', 'meet', 'inform']"
189,he is not responding to call so msgd through whtsapp tried again still not responding to calls and msgs,"['responding', 'msgd', 'whtsapp', 'calls', 'msgs']"
190,no response after multiple attempts to reach hence marking the lead as inactive lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"['response', 'attempts', 'lead', 'lead', 'lead']"
191,tried again still not responding to calls and msgs ,"['responding', 'calls', 'msgs']"
192,not responding to call so msgd him through whtsapp tried again still not responding to calls and msgs tried again still number shows busy so msgd him through whtsapp,"['responding', 'call', 'msgd', 'whtsapp', 'calls', 'msgs', 'busy', 'msgd', 'whtsapp']"
193,had a call explained and shared details of investment through whtsapp he said he is not yet decided he said he is not intrested,"['call', 'shared', 'investment', 'decided', 'said']"
194,not responding to calls to msgs tried again number shows busy not responding to calls and msgs,"['responding', 'calls', 'msgs', 'busy', 'responding', 'calls', 'msgs']"
195,he said he will let me know soon he said he is not intrested,['said']
196,he said he not yet decided anything on the investment he is not responding to calls and msgs tried again he is not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
197,msgd him through whtsapp he said he already discussing with pradeep,"['msgd', 'whtsapp', 'discussing']"
198,had a call he said he is coming to hyd on sep so than only he can take any action he said,"['call', 'coming', 'hyd', 'take', 'action', 'said']"
199,he disconnected the call by saying wrong number,"['disconnected', 'call']"
200,he said he will meet tomorrow in the office he said he will meet after nimarjaanam he said he will meet tomorrow at afternoon he said he is not getting time to come to the office he said he will update once he get free,"['said', 'meet', 'said', 'meet', 'meet', 'come', 'update', 'free']"
201,tried again still call id not getting connected,"['call', 'connected']"
202,he said he is in his town so not able to take any decison so asked me to wait,"['said', 'take', 'decison', 'asked', 'wait']"
203,had a he asked me to share details through whtsapp he is not responding to calls and msgs tried again he is not responding to calls and msgs had a call again and explained he said he want to talk to some our existing customers before he proceed he said he dropped the plan as of now,"['asked', 'share', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs', 'call', 'proceed', 'dropped']"
204,he said he not yet decided he said he will check and update he said he will update me once he decides he said he is in a meeting he said he will call me sometime ,"['said', 'decided', 'check', 'update', 'update', 'decides', 'meeting', 'call']"
205,he said he is not interested in any investments,"['said', 'interested', 'investments']"
206,he said he will only update his call is not getting connected so msgd him through whtsapp call is not connecting connected tried again his call is not getting connected,"['said', 'update', 'call', 'connected', 'msgd', 'call', 'connecting', 'connected', 'call', 'connected']"
207,tried again number still shows off tried again number still shows off ,"['tried', 'shows off', 'tried', 'shows off']"
208,he is not responding to calls and msgs he said he will discuss this on saturady called him he said he will call me back in sometime he is not responding to calls and msgs,"['responding', 'calls', 'msgs', 'discuss', 'called', 'call', 'responding', 'calls', 'msgs']"
209,she said she will update once she decides she is not responding to calls and msgs,"['update', 'decides', 'responding', 'calls', 'msgs']"
210,he said he he decides he will let me know,"['said', 'decides']"
211,he speaking in kanada and than spoke in hindi he said he is not intrested,"['speaking', 'kanada', 'spoke', 'said']"
212,tried again now he disconnected the call tried again he did not picked up the call he asked me to share details along with the zoom link,"['tried', 'disconnected', 'call', 'picked', 'call', 'asked', 'share', 'zoom link']"
213,tried again he still not responding to calls and msgs he said he is not intrested,"['tried', 'responding', 'calls', 'msgs', 'intrested']"
214,had a call explained details again she said she will discuss with her husband and let us know she said she is not intrested,"['call', 'discuss', 'said']"
215,she said he didint enquired,"['said', 'enquired']"
216,he said he will get back to me in the next couple of days he said he still not yet decided anything he said he will inform once he decides,"['said', 'back', 'decided', 'inform', 'decides']"
217,tried again still he is not responding to calls so msgd through whtsapp msgd through whatsapp he asked me to share the zoom link he is not responding to calls and msgs tried again he still not responding to calls and msgs,"['tried', 'responding', 'calls', 'msgd', 'whtsapp', 'whatsapp', 'asked', 'share', 'zoom link', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
218,tried reaching her again but she didnt responded to call lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"['responded', 'lead', 'lead', 'lead']"
219,he said he will revert soon once he get free he said he need more time to invest,"['said', 'revert', 'free', 'invest']"
220,had a call he asked me to share details through whtsapp he is not responding to calls and msgs,"['call', 'asked', 'responding', 'calls', 'msgs']"
221,the number currently busy,['busy']
222,he said he not yet decided anythng he said he is not interested as of now,"['said', 'decided', 'interested']"
223,she said she didint enquired,"['said', 'enquired']"
224,he asked me to share details through whtsapp he said if he is intrested he will let me know,"['asked', 'share', 'whtsapp', 'said']"
225,still not responding to msgs,"['responding', 'msgs']"
226,tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs ,"['tried', 'responding', 'calls', 'msgs', 'calls', 'msgs']"
227,he said he didint checked the details he said he will check and update he is not responding to calls and msgs had a call explained details again he said he will visit the site and will take decision tried again he still not responding to calls and msgs,"['said', 'checked', 'check', 'update', 'responding', 'calls', 'msgs', 'call', 'visit', 'decision', 'responding', 'calls', 'msgs']"
228,not in service,['service']
229,he said he is not sudheer and he didint enquired any investmnts,"['said', 'sudheer', 'enquired', 'investmnts']"
230,he said he is in a meeting he said he will call me back he is not responding to calls and msgs tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs,"['said', 'meeting', 'call', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
231,still number shows out of service,['service']
232,tried again still number shows off tried again still not responding to call so msgd him through whtsapp he asked me to share details through whtsapp he said he is not interested as of now,"['tried', 'responding', 'call', 'msgd', 'asked', 'share', 'interested']"
233,he asked me to share details through whtsapp she said she not yet gone through the details she said she will update soon she disconnected the call,"['asked', 'share', 'whtsapp', 'said', 'said', 'update', 'disconnected', 'call']"
234,tried again still he is not responding to call tried again this time he said he didint enquired any investments,"['tried', 'responding', 'call', 'tried', 'enquired', 'investments']"
235,tried again he stil not responding to call rnr tried again he stil not responding to call rnr ,"['tried', 'responding', 'call', 'responding']"
236,he is not responding to call so msgd him through whtsapp tried again he still not responding to calls and msgs,"['responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs']"
237,had a call explained and shared details through whtsapp he said he will call me once he get free he said he will call me if intrested,"['call', 'shared', 'whtsapp', 'call', 'free', 'intrested']"
238,she said she not yet decided anything she said she will update once he decides she is not responding to calls and msgs,"['said', 'decided', 'update', 'responding', 'calls', 'msgs']"
239,she said she will check and update if she is intrested,"['said', 'check', 'update', 'intrested']"
240,not responding to call,"['responding', 'call']"
241,not decided yet anything not yet decided anything yet he said he will update if he is intrested,"['decided', 'decided', 'update']"
242,tried again still she is not responding to calls and msgs ,"['responding', 'calls', 'msgs']"
243,he is disconnecting the call tried multiple times,"['disconnecting', 'call']"
244,tried again still call not is getting connected he is not responding to calls and msgs,"['call', 'connected', 'responding', 'calls', 'msgs']"
245,he said he is not yet decided on the investment he said if he is intretsed he will call me,"['said', 'decided', 'investment', 'intretsed', 'call']"
246,tried again still not responding to call rnr had a call explained and shared details through whtsapp he is not responding to calls and msgs tried again still not responding to calls and msgs,"['tried', 'responding', 'call', 'call', 'shared', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
247,not responding to calls and msgs tried again he is not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
248,tried again he still not responding to call busy tried again he still not responding to call busy ,"['tried', 'responding', 'busy', 'responding', 'busy']"
249,tried again number still shows off ,"['tried', 'shows off']"
250,he said he is not intrested as of now,"['said', 'intrested']"
251,had a call he asked me to share details through whtsapp he is not responding to calls and msgs tried again he is not responding to calls and msgs ,"['call', 'asked', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
252,tried again still not responding to call rnr had a call explained and shared details through whtsapp he said he will inform me once he decides he said he cannot afford 10 lakhs,"['responding', 'call', 'call', 'shared', 'inform', 'decides', 'afford']"
253,tried again he still not responding to call tried again he still not responding to call ,"['tried', 'responding', 'tried', 'responding', 'call']"
254,he said he will call me back once he decides he said he will get back to me he said he need some time he said he is discussing with his cousin so he said he need time,"['said', 'call', 'decides', 'back', 'discussing']"
255,he said he need time to decide he said he want me to visit his office so he will inform me when he want to meet not responding to calls and msgs,"['said', 'decide', 'said', 'want', 'visit', 'inform', 'meet', 'responding', 'calls', 'msgs']"
256,tried reaching him he did not picked up the call tried reaching him out again he did not responded to call ,"['tried', 'reaching', 'picked', 'call', 'responded', 'call']"
257,he said he is not instreted,"['said', 'instreted']"
